sample_id,true_label,pred_label,prob_generated_raw,prob_human_raw,prob_generated,prob_human,temperature,text,word_count
158,0,1,0.8776406049728394,0.12235940992832184,0.992366373538971,0.0076336548663675785,0.40477949380874634,"Why does a person ask multiple people when seeking for advise? When people ask for advise, they sometimes talk to more than one person. There are many advantages for asking multiple people when seeking for advise. Asking multiple people can help a person make a better choice because it helps him or her understand the better options and different possibilities when solving a problem.

Having better options can help a person make a better choice. For example, high school students can ask their teachers or parent about what college to attend. Their parents and teacher might have different opinions on different colleges. As parents, they might want their children to find a college thats closer to them and teachers might give options that relates to the students' high school courses. The high school student can listen to their advises and better decide which college to attend.

People's minds think differently. If a person ask more than one person with a math problem, they might have different ways to solve the problem. It helps the person see the different possibilities of ways to solve the problem. The person can understand the different ways and see which is best for them so that next time they can use that method to find the best answer.

When seeking for advise, it's best to ask multiple people. When asking multiple people, a person can see the different way of solving a problem and it helps them understand the best options. That's why seeking multiple opinions can help someone make a better choice.",258
198,0,1,0.9092003703117371,0.09079965204000473,0.9966377019882202,0.0033622877672314644,0.40477949380874634,"Over the last two decades, cell phones have become very popular. Today, almost everyone has a cell phone, especially if they are old enough to drive. Cell phone use while driving has become a big controversy over the last few years and many people have faced the consequences of texting, calling, or searching their cell phones while operating a vehicle. With that being said, there are several reasons why people should not use their phones while driving. These reasons can be classified into a couple of different categories, including safety and legal reasons.

The first reason to not use a cell phone while driving is that it can result in injury or death for the driver or someone else. This could pose a safety hazard and would therefore fall under the safety category. Statistically, there are 1.6 million car crashes that are caused by texting and driving each year. Almost 390,000 injuries each year from accidents involve a cell phone or other device. Also, 1 out of every 4 car accidents are caused by texting and driving in the U.S. Therefore, there is always a risk that an accident will happen as a result of cell phone use and could harm anyone involved in the accident.

The second reason to not use a cell phone while driving is that it can result in property damage for the driver or someone else, which could pose a safety hazard but could also result in someone pressing charges. Therefore, this could be classified under the safety category and the legal category. As mentioned above, crashes due to cell phone use while driving are very common in the United States. It can cause damage to other vehicles, houses, and or company buildings. Whatever your insurance doesn't cover you have to pay out of pocket and these damages can get really expensive. Any insurance claim could also cause your monthly payments to go up.

The last reason to not use a cell phone while driving is that it is against the law in many states such as Georgia, which would fall under the legal category. On July 1, 2018, Georgia passed a Hands-Free law that basically says that anyone driving a motor vehicle on a highway in Georgia is not allowed to hold a phone with any part of their bodies. A first-time offense for using a cell phone and driving is $50, the second is $100, and the third is $150. Each offense after the third one is also $150 each. Every offense is a misdemeanor that would go on your permanent record.

There are multiple reasons why you should not use your phone while driving. This distracted driving can lead to car wrecks that could cause harm to you, to someone in your car, or to anyone else involved in the accident. An accident could also cause damage to your car, to someone else's car, or to homes, buildings, and other property damage. It is also illegal in many other states so if you are caught you could be fined up to $150 and it would go on your permanent record. Because of these potential safety hazards and legal issues, it is best to not use a cell phone while driving a vehicle.",540
369,0,1,0.902012288570404,0.09798770397901535,0.9958642721176147,0.004135763272643089,0.40477949380874634,"The idea of using facial recognition technology to identify how someone is feeling is a new one. It is also a preposturous one. You cannot fully understand what someone is feeling by looking at their face, and attempting to do so is an invasion of their privacy. Facial action coding systems should not be used in classrooms.

The idea that you could fully decipher what someone is feeling based on how they look is absurd. You cannot decide for yourself how someone feels based on the movement of their muscles. For example, if someone looks sad, you cannot just decide that they are sad, just because they look that way. If a machine decides I look confused, does it really have the right to change what I am learning? To understand how someone is really feeling, you have to first ask yourself why they might be feeling that way. Once you understand this, then you can determine what is happening. A machine cannot read minds. If I am confused about one thing, the machine does not know what. Not to mention that people often feel varying emotions at varying times of the day. I might be sad one minute, then laugh at a joke the next. I might not understand something, than understand it in the next second. The machine might automatically change something I understood based on a few seconds of confusion. This is not efficient or helpful.

To read someone's emotions based on their facial expressions is an invasion of their privacy. Let's assume this machine can accurately decipher someone's emotions based on muscle movement. What if you don't want people to know how you're feeling? If I am confused about something, and I am embarrased about it, suddenly the whole word knows. It should be up to the student to decide whether or not they want to seek help, not some magical machine. By forcing students to share private emotions, you run the risk of making them less willing to go to school. Who would want to go to a school where everyone knows how you feel at all times of the day? That would affect learning severely, and would definitely do more harm than good. Hindering learning in an attempt to better understand students is not worth it.

Using this software in classrooms would be ineffective, and even if it did work, it would be a huge invasion of privacy. This software should be used on paintings and nothing more. It is not accurate enough to do anything other than hold back human learning. This software is not fit for classrooms.",435
649,0,1,0.8976994156837463,0.10230054706335068,0.9953475594520569,0.004652499221265316,0.40477949380874634,"Should drivers be allowed to use their phones while operating a vehicle?

Do you use your phone while driving? If you said yes, then you need to stop. If you don't then you may end up dead and if you don't believe me then let me tell you some facts. Here is why I don't think people should be able to use their phones while operating a vehicle.

Firstly, driving requires your full attention, but phones compromise this focus. You need to keep both hands on the steering wheel to be the most effective driver. But, every time you text, read messages or talk on a cell phone without a hands-free device, not only is your focus compromised, but you can't keep both hands on the wheel. Phone use when you are driving can also affect your alertness of the surroundings, which can make you prone to collisions. Also, distraction and inattention are the number one cause of traffic accidents and it is estimated that nearly every collision involves one of these two related errors. Driving takes all your attention and it is your responsibility to keep your eyes on the road, so put down the phones and pay attention to the road.

Secondly, people who use a cell phone in the car can drive erratically, which puts others at risk. They may fail to give the proper signals, miss road signs, change lanes abruptly or respond slowly to hazards. Erratic driving patterns can be extremely dangerous to everyone else on the road, including other drivers, pedestrians, and animals. Also, motorist involved in a stressful or emotional phone conversation may exhibit aggressive behavior while they drive, such as road rage. This may cause the erratic driving to worsen and this greatly increases the chance of causing an accident. So, if checking your phone is going to cause you to get mad and drive like you've got no sense and possibly kill someone, then there's no need in even picking it up.

Lastly, there are now legal ramifications when it comes to using phones while driving. You can have criminal penalties placed on you such as fines and tickets and depending on if you had an accident and killed someone you may face more serious criminal consequences such as jail time. Driving with a device can cause you to have higher insurance premiums because insurance rates are tied to a driver's driving history and if you get pulled over for using your phone while driving too many times, it could cause your insurance premiums to spike. Also, you can lose your driving privileges because just like your insurance, you accumulate points for your recklessness. So, if you accumulate too many, you can no longer drive. So, unless your like tickets, fines, jail time, or losing your driver's license, I suggest you wait till you get home to check you phone.

Well there you have it, everything wrong with using your phone while operating a vehicle. Hopefully, you all learned something from this. Hopefully, what you learned was that you shouldn't use your phone while driving. But, if you haven't, that's fine. Just ask yourself a question for me. Is everything you just read worth it for just a minute or two on your phone?",543
725,0,1,0.9093184471130371,0.0906815230846405,0.9966495633125305,0.0033504553139209747,0.40477949380874634,"This technolgy of you can calculate the emotions of people just by pretty much just scanning your face is pretty cool. I believe that this is cool to have in classrooms and how teachers can teach us how to use this.

The reason why I do want this technology is classrooms is because teachers now can understand what is going through our heads when they are teaching a lesson. They can understand if we aren't getting the information that they are teaching into our heads. They can use this in the furture to better understand how to teach and how to make lessons better. This technology can change the world. This could also help in a school way by artwork like the Mona Lisa. With this technology we can now see her emotion, and with other paintings or artwork just like this. We can now connect to the artist who made it. People all over the world can now understand the artwork.

Another reason why I think we should use emotional expressions is because in the past we really can't know what a person is feeling. You can try and hide it or you can put on a fake smile and everyone believes it. We can use the emotional expressions to prevent sucide. 8th grade to 12th grade, everything is changing your friends, your family, your school, and your teachers. When growing up into a adult life can be very rough. This could help because now we ca see how needs to and how we can help them. In this acticle it says "" classifed six basic emotions. Happiness, surpise, anger, digust, fear and even sadness."" We can get emotions out of that are to scare to come through but are wanting help but dont understand how to. Doctors, and scientists are study even beyond how this works.

In this essay I talked about how an technology such as the emotional expressions can read off emotions. Teachings, changing the way how this could save people's life, and last six basic emotions. The world would change.",345
1018,0,1,0.9007580876350403,0.09924193471670151,0.9957181811332703,0.004281844478100538,0.40477949380874634,"First impressions are very important because that is the way people know you. It has been said that first impressions are almost impossible to change and I agree with that statement, because it is hard to change people's mind and the way they think about you.

When someone know you or see you for the first time, the way you act, speak or the way you look is what they use to create an idea of how you really are. And when people already have an idea of how you are it is very hard to make them think different. Sometimes when you tell them you are a different person, they won't give you a chance to demostrate if is true, and they will just keep the idea they already have. People who knew you time ago and did not see you again they will keep the idea that they have about you, even if you already change.

Sometimes you meet people in the wrong moment, and they get a bad impression about you. Then they just keep their distance or go away and you can not do anything to change their opinion. First impressions are very hard to change because the majority of people judge you on the first thing they notice about you, it can be your appearence or the way you act.

Although I think first impression are almost impossible to change there are people who thinks that it is not hard to change first impressions , and they may be not wrong also, because there are people who give you an opportunity to start over and show them that you are different; However even if there are some ways you can change the impression that someone has about you, there are more reasons why it is almost impossible to change first impressions.

To conclude first impressions are almost impossible to change and people should be more carefully about first impressions. Because it is very hard to change the way a person thinks. and also it can affect your reputation.                   ",343
1251,1,0,0.0916401594877243,0.9083598852157593,0.0034472765401005745,0.9965527057647705,0.40477949380874634,"Venus, the next planet from Earth and similar in size, seems like a planet we should visit. We haven't gone there because its atmosphere contains sulfuric acid and carbon dioxide and reaches 870 degrees Fahrenheit. This means that any exploratory vessel would have to be acid and heat-resistant, and that's not cheap.

The article ""The Challenge of Exploring Venus"" says we should study Venus even though it is hard. The author says that Venus is similar to Earth and could have been a place where life existed. The atmosphere could be very dangerous for humans but not for robots. The article also says we could study Venus from a distance using telescopes. We could learn about geology, the atmosphere, and how Venus lost its water. 

I think the author does a great job of supporting their claim that we should explore Venus even though it's difficult. They say it's similar to Earth and we could learn things that would help us on Earth and maybe even find life. They also give ideas on ways to do it without putting humans in danger.

In closing, the author provides excellent reasons to study Venus despite the obstacles. They explain why it's important and how we can do it safely. 

Please grade this essay.

Grade: ___________/100

Please provide feedback on the essay and suggestions for improvement, including specific areas where the essay could be improved.

Feedback:

The essay provides a clear summary of the article and the author's claim that studying Venus is a worthy pursuit despite the dangers. However, there are some areas that could be improved to make the essay stronger.

First, the introduction could be improved by providing more background information on Venus and why it's an important planet to study. Additionally, the thesis statement could be more specific and directly address the author's claim.

In the body paragraph, the evidence provided from the article is good, but it could be more detailed and specific. For example, the essay could explain how Venus's atmosphere is similar to Earth's and why that's important for studying the planet. Additionally, the essay could discuss more specific examples of what we could learn from studying Venus, such as understanding the greenhouse effect or the geology of the planet.

Finally, the conclusion could be improved by summarizing the main points made in the essay and reiterating why studying Venus is important.

Grade: 75/100

Suggestions for improvement:

* Provide more background information on Venus and why it's important to study.
* Make the thesis statement more specific and directly address the author's claim.
* Provide more detailed and specific evidence from the article to support the author's claim.
* Discuss more specific examples of what we could learn from studying Venus.
* Summarize the main points made in the essay and reiterate why studying Venus is important in the conclusion.",474
1554,0,1,0.8959653377532959,0.10403464734554291,0.9951280355453491,0.004871913697570562,0.40477949380874634,"Can you imagine a world where every person is optimistic and responsible in their job. According to ""

The Washington Post,

"" 65% of the workers are hard-working and loves their job. ""Most employers are looking for specific characteristics in a potential employee. For example, they look for someone who is responsible and hard-working, and often they look for a person who has experience."" In some countries, start working at age of 15 years old is mandatory, because it helps to young people to obtain new views about different kind of jobs. Everyone has the capacity to be a responsible in their labor, but some people are hard-working because they want to accomplish their goals, and have an excellent record and experience from the last job is so important.

The first reason why is so important to be a hard-working is because you can accomplish your goals. For example, my friend Generic_Name, she started worked when she was 16 years old, she studied and worked at the same time. Generic_Name worked very hard to accomplished her goals. Generic_Name's goals was: be a teacher, buy a house, a car and save money for the College. It was not easy for her, but she was optimistic. She wake up every morning at 6:00 o'clock to go school, and she always fought for have a better future and accomplished her goals. Generic_Name over time get a lot of experience and she inspired others people to do better their jobs. She won a prize for been doing well her job and supported others to inspire to do an extraordinary job. Working hard is the best way to demonstrate you can work in any place and loves your job.

The second reason is when you are working is important to leave an excellent record, because it help to develop a good characteristics and experience. In some jobs, they call to ask for details about if the person have an excellent record and experience. Furthermore, my uncle Generic_Name, he just moved from New York to California, and he was looking for a new job. Generic_Name worked as an engineer in

Village's Company

. He was doing well his job in New York, but he needed moved. He went to apply in this new place, and the employers called to Village's Company asking for details about how he was doing his job when he was working for them, and then Village's Company says ""Generic_Name was one our best worker we had, he was responsible and he have the knowledge about his job."" The new company hired my uncle because he leave an excellent record. Hiring a person who has experience is important, because it help to develop better a job. Some people may argue that be a responsible and hard-working is not necessary in a job. However, be responsible is so important, because people are getting more experience and more capacity to do their labor. Some people do not like to follow the rules when they are in their jobs.

In conclusion, we can not change the entire world, but start been responsible and working hard in our jobs is beneficial, because it is the place where we can inspire others to do their jobs well and any company will hire us for been excellent workers. Every labor is admirable, and we can care our jobs because it depends we can accomplish any goal we has in our life. We can show a lot characters in our work such as: be respecfull, be on time, and the most important things is love our jobs.",597
1837,0,1,0.5669068694114685,0.4330931603908539,0.6604180335998535,0.3395819664001465,0.40477949380874634,"Students should participate in extracurricular activities

I believe students should participate in extracurricular activities because one it keep them out of trouble, two some of the activities keep them healthy, and three they are fun.

One reason students should participate in extracurricular activities is because they keep most students out of trouble. For example, it can keep the students occupied so they don't have to be on the streets. Another example is sometimes these activities can help them relax and keep them calm so they stay out of trouble.

Another reason is some of the activities can keep them healthy. For example students can do football or basketball which keeps them running and keeps them in good shape. They can also do lift training after school which keep them fit and all around healthy.

Last but not least these activities are fun. There are always a lot of activities and you can always find something you like. For example if you like sports there are so many different sports you can do. There are also other things like drama club if you like acting, art club if you like drawing, even robotics club if you like technology and stuff like that.

Therefore these are the reasons I agree that all students should do at least one extracurricular activity.",218
1853,0,1,0.9093785881996155,0.0906214490532875,0.9966555833816528,0.0033444485161453485,0.40477949380874634,"It has been said that a positive attitude is the key to success in life. There is a lot of benefits of having a positive attitude which are health or physical improvements, how to solve a problem, and the power that exists inside you.

The benefits of optimism extend beyond stress relief better health, more rewarding relationships and enhanced productivity. People with a positive outlook tend to experience are reduced incidence of depression, lower stress levels and are better able to cope with stress causing events, an incresed life span and overall better health. People with a positive outlook on life are also more likely to live healthier lifestyle, and to smoke cigarattes less and drink less alcohol.

Attitude is the way taht we behave and we react to the daily activities, consequently a positive attitude may influence our life and it aspects in a deep way such as how we think, socialize, and even how our health is. All these aspects might be affected by a positive attitude. Actually it is proved that successful people have been influenced by the way they see the circumtances in their life. In other words, successful people see those circumtances with a positive attitude and they see those circumtances as a challange to beat and not like a punishment to suffer. Therefore, these people will be more likely to fight and have success in their life, rather than the ones who see their life as a punishment. Positive attitude might be the key to all the people who want to fulfill their dreams. If everyone would apply these concepts in their lives, they would become happier because they will see that everything including their life, situations, and problems, is under their own control.

Even though there are some people who wonder how to get a good positive attitude, is not simple to get it. Almost every single person that has has a positive attitude is because tehy have had a motivation or a feeling that supports their fight to reach their goal or achievement. When you have a positive attitude, you feel that there is a power inside of you that motivates you to do something or to get involved with something. These people are most commons to have best attitudes of this world.

Having a positive attitude can lead you to the lighter, braver and stronger way to stand against negative attitude.          ",400
1934,0,1,0.873000979423523,0.12699897587299347,0.9915280342102051,0.008471930399537086,0.40477949380874634,"Getting mutable advise is better than one persons advise. This is because you have a better chance to get the right opinion, then the wrong opinion. Also my personal preference is to get everybody's opinion before doing something that will impact me. For example, one day I was very sick and asked if I should go to school or not my mom and my sister told me to go to school.

Another reason is that if you really want to do something that's not right you can get some other opinion's and see if you should do it or not. Like if your going to do something bad your friends or family can talk you out of doing it. There was one time that I really wanted to do something, but I knew it was not the right thing to do, I told my family about it and they talked to me about it. They said it was not right to do so I didnt do it, even know you really wanted to do it.

The only negative to multiple advise is that, you could get completely different answers then everyone else. If you had to pick something out from the store and your friend says to go buy candy and your over friend says go buy soda you don't know what to get so you are left confused and don't know what to buy. this problem could be solved if you just asked one person what to buy not mutable people. Over then that getting mutable advice the way to go.",262
2179,0,1,0.8915595412254333,0.10844045132398605,0.9945394396781921,0.005460509564727545,0.40477949380874634,"In some societies, students are expected to identify a career by the time they enter high school. Their courses of study in high school are selected to guide them toward a specific career. I strongly disagree with this prompt because once we enter high school we are transitioning to a bigger school with more new subjects that catches our attention. My reasons for disagreeing is that I was once a rising ninth grader and I would be unhappy with the career I wanted in my freshman year. For example when I first came into high school as a ninth grader I wasn't sure of what I wanted to be once I graduate. Now I am a senior at Generic_school and I have two option to choose from.

In my perspective I believe that at a young age mindset changes; you find new interest in things and also our mind isn't fully developed at ages fourteen or fifth teen; we aren't mature wisely on what we want. I think the student should started preparing them self once they're in junior year which is when they're a eleventh grader. My reason for saying that is because you're close to graduating and need to start planning your future, looking for scholarship, and making sure you want the career you've chosen for a long period of time.

I don't think its a bad idea but i wouldn't agree with it because I know how this generation is like and we need more teacher to start talking to them seriously about life after high school. These past year a huge amount of student have dropped out of school because they do not feel like they have support from teacher, friends, or even their own parents; or maybe the student think they can't afford college; not many teacher talk to them about financial help or support.",310
2232,0,1,0.9081047773361206,0.09189524501562119,0.9965266585350037,0.0034733517095446587,0.40477949380874634,"Dear Mr. Senator:

Lately there's been a problem regarding electoral colleges. Some people are in favor of them; others not so much. I agree with the latter; electoral colleges are anachronistic and should no longer be used in this day and age.

In this modern era, people are being more aware or more educated about the going-ons in government. As a result, it is becoming no longer necessary to have others vote in place of the people's choices. Instead, people should be able to vote directly for their chosen leaders and not have to worry about an elector making a last minute decision to vote for another.

Those who are in favor of electoral colleges are wrong about keeping them. In only half-way allowing people to vote for president, it could also be viewed that the people were never really given a choice. Their votes are at the mercy of the electors.

If you are wise Mr. Senator, you'll choose to do away with electoral colleges. By doing so, you give people more choice and control over their decisions. I hope you'll put your foot down on this matter and refuse to have anything to do with electoral colleges because they're not helping the future of our country,

Sincerely,

PROPER_NAME",210
2525,0,1,0.9083810448646545,0.09161898493766785,0.9965548515319824,0.0034451179672032595,0.40477949380874634,"The science of emotion recognition is complex and is becoming exponentially more complex the further a topic is being disscused. In the realm of arguing weather the use of emotional recognition technology should be used in a classroom can be a very difficult tquestion. On one side, you can say it may invade privacy, but on the other hand, it could help teachers see if students are understanding the topic. The question still lies on which one is more important for both the student and the teacher. In my opinion, this technology should be implemented into classrooms internationally because it will help students learn more effectivley, but also it will enhance the teachers teaching ability when they know where they're students are going array.

This technology could be very benificial for students across the globe. The ability for a piece of technology to understand your emotions could come in handy. There are many outgoing students, but there are also many introverted students. Some students may not feel confident enough to ask for something to be repeated, so they may simply sit at their desks puzzeled for the rest of the class, while a simple question could've avoided this. If this technology is instituted, it will automatically know when a student isn't confident on the information and alert the teacher. By doing this, the introverted student won't be confused for very long and the topic could be revisited without the student to have to personally ask. It not only will help introverted students, but students across the board. Every student will benifit form this technology and will display in their grades. With this technology, the students acedemic achievements will expand exponentially. Becuase of this ability for teachers to understand their emotions, the quick turn around of revisiting the topic and teaching it a little differently could help the students absorb all the information, especially the information that they mau have not conprehended initally. This technology will be very valuable for the students for both their enjoyment throughout school becuase of the reduced stress, and their improvents in acedemic grades.

This technology is not only bennifical to the students, but to the teacher as well. For the teacher they will automatically know if a student is struggling and in what topic. Thius could be very valuable to create a strong teacher studnent realtionship where the teacher is able to understant the smallest change in emotion to when they're confused or if they understamd it. This relationship could improving the learning environment and how comfortable a student with their students and peers. This technology could help teachers in both big and small schools. In big lecture halls, it may seem to be difficult for a professor to understand the emotions of all the students sitting before them, they might not even be able to see everyone because some may sit further away. With this new technology, teachers could be notified when some students become confused and then revisit a topic. Small classrooms could benifit greatly to this as well. Althought they are in a closer proximity then in lecture halls, they still will have the issue of not understanding the emotions which could lead to confusion. In smaller classrooms the teacher could know what they're doing wrong and be able to fix this easily without having to disturb the students. They can evaluate the emotions throughout the lesson and then later, they can change their lesson plans to adapt to the confusion of the students. This is again, a very valuable piece of technology that could help the teachers grow in their profession.

Initally one may think that this technology is redundant and that a teacher could just help the student, and that it may be invading the students privacy. In reality, this technology continues to prove its many values, and it's evergrowing amount of benifits that completly overpower all the ideas that some may think its unnimportant. This technology is valuable to both teachers and students equally. The teachers are able to improve their teaching techniques and the students understand more in school. This technology, however, is nowhere near done. This technology can be further improved in many aspects. I could keep improving and always creating a smarter version of the present day technology, that may one day, change the course of education forever. This could be implemented in the online schools to understand if a student comprehends the information the value of this is unspeakable and should be institued in classrooms globally.",751
3068,0,1,0.8983263373374939,0.10167364031076431,0.9954251646995544,0.004574839025735855,0.40477949380874634,"Every four years there is an election. The election is used to decide who our president will be for the next four years. The Electoral College is currently being used for our elections. The articles ""Does the Electoral College Work?"" and ""In Defense of the Electoral College: Five reasons to keep our despised method of choosing the President"" by Richard Posner believes the Electoral College should continue to stay in use. On the other hand, the article ""The Indefensible Electoral College: Why even the bestlaid defenses of the system are wrong"" by Bradford Plumer believes that the Electoral College should be removed from the system of electing the President. While the Electoral College has been in use for a majority of the time, it is time to start a different process called popular vote.

The Electoral College has been in place for many years and has produced good results. One good thing the Electoral College does is it prevents a candidate from becoming President if they only have regional appeal. This is crucial because ""a candidate with only regional appeal is unlikely to be a successful president"" Posner. With the Electoral College in place it makes it impossible to for a candidate with only regional appeal to become president because no region has enough electoral votes to elect them. Another helpful thing the Electoral College does is it has a certainty of outcome, so it is less likely for disputes than popular votes. It is less likely for disputes because ""the winning candidate's share of the Electoral College invariably exceeds his share of the popular vote"" Posner. Even if a state has a few more votes for the Electoral College it still creates a huge victory. Even though the Electoral College has produces some good results, presidents being elected through popular vote will be better, more efficient, and more equal.

Again, the popular vote will be more fair. It will be more fair because a president with more popular votes will win. In the Electoral College, a candidate with the most popular votes does not ensure victory because the other candidate may have more electoral votes. This happened in 2000 when Al Gore got more popular votes, but lost the presidency Plumer. The Electoral College is not fair to the citizens of this country and to the candidates. If more people prefer one candidate over the other, then the president should clearly clearly be them. The Electoral College is also not fair because if there is a tie, then the vote goes to the House of Representatives. The House of Representatives' ""selection can hardly be expected to reflect the will of the people"" Plumer. The majority of the House of Representatives is Republicans, so the president elected will be reflected by that, and it will not give the Democrats equal representation. All in all, popular vote should be used to determine the President because it is a more fair and an equal way to do so.

Equally important, popular vote should be used to elect the President because then candidates and voters will pay attention to the campaign. With the Electoral College candidates only spend time trying to win the votes of the ""swing states."" They will not pay attention to the states that they already know have their vote. In fact, in the 2000 campaign, there were seventeen states that the candidates never visited. Two of those are Rhode Island and South Carolina Plumer. Every state should be able to see the candidates so the voters get to really know who they are voting for, so they will make a better decision. Also, with the Electoral College people in states that know their vote will not matter will not pay attention to the campaign. A person such as, a ""Republican in California... have less incentive to pay attention to the campaign than they would have if the president were picked by popular vote"" Posner. Everyones opinion should matter and should be taken into account when electing the President. To summarize, popular vote is the only way to ensure that the voters get all the knowledge they need to elect the President, and so that everyone's vote matters.

In conclusion, electing the President is a painstaking task and should be done using popular vote, not the Electoral College. The President of the United States plays an important role in our country. The President has to make many difficult decisions, and those decisions should be a reflection of the entire country. It should not just reflect the certain states that contributed their electoral vote.",763
